hour,raw_n_samples,raw_mean_radiance,raw_median_radiance,raw_min_radiance,raw_max_radiance,hourly_grid_cells,hourly_grid_observations,hourly_grid_mean_radiance,hourly_grid_median_radiance,hourly_grid_min_radiance,hourly_grid_max_radiance
2020-12-02 07:00:00,24,184.11139920552571,185.55423583984376,108.45775756835937,252.8503143310547,24,24,184.11139920552571,185.55423583984376,108.45775756835937,252.8503143310547
2020-12-02 09:00:00,24,76.22533162434895,109.11111755371094,-35.93479919433594,165.95343627929688,24,24,76.22533162434895,109.11111755371094,-35.93479919433594,165.95343627929688
2020-12-02 10:00:00,10,147.13666870117189,148.96607666015626,124.79175720214843,172.4870361328125,10,10,147.13666870117189,148.96607666015626,124.79175720214843,172.4870361328125
2020-12-02 11:00:00,14,54.835570199149,17.96739959716797,-15.027279663085938,188.16767578124998,14,14,54.835570199149,17.96739959716797,-15.027279663085938,188.16767578124998
2020-12-02 12:00:00,23,83.28919465438179,122.83167724609375,-26.1343994140625,165.3000762939453,23,23,83.2891946543818,122.83167724609375,-26.1343994140625,165.3000762939453
2020-12-02 14:00:00,24,60.81692530314128,69.25615844726562,-32.01463928222656,148.96607666015623,24,24,60.81692530314128,69.25615844726562,-32.01463928222656,148.96607666015623
2020-12-02 15:00:00,20,157.59042846679688,144.39255676269534,110.41783752441405,228.02263488769532,20,20,157.59042846679688,144.39255676269534,110.41783752441405,228.02263488769532
2020-12-02 16:00:00,4,152.23287658691407,146.35263671874998,126.75183715820312,189.47439575195312,4,4,152.23287658691407,146.35263671874998,126.75183715820312,189.47439575195312
2020-12-02 17:00:00,20,216.68683914184572,216.26215515136718,115.64471740722657,381.5622314453125,19,20,208.00918691534744,213.64871520996093,115.64471740722657,381.5622314453125
2020-12-02 20:00:00,24,59.34686533610026,36.91483917236328,-22.214239501953127,175.75383605957032,24,24,59.34686533610026,36.91483917236328,-22.214239501953127,175.75383605957032
2020-12-02 22:00:00,24,161.67937304178875,159.0931564331055,114.991357421875,196.00799560546875,24,24,161.67937304178875,159.0931564331055,114.991357421875,196.00799560546875
2020-12-02 23:00:00,18,175.28196495903865,171.18031616210936,109.11111755371093,235.2095947265625,18,18,175.28196495903865,171.18031616210936,109.11111755371093,235.2095947265625
2020-12-03 14:00:00,23,72.52295837402343,107.15103759765624,-24.174319458007812,160.72655639648437,23,23,72.52295837402343,107.15103759765624,-24.174319458007812,160.72655639648437
2020-12-03 15:00:00,12,144.33811009724934,146.35263671875,123.4850372314453,170.5269561767578,12,12,144.33811009724934,146.35263671875,123.4850372314453,170.5269561767578
2020-12-03 16:00:00,12,16.333999633789062,-6.206919860839843,-26.78775939941406,130.01863708496094,12,12,16.333999633789062,-6.206919860839843,-26.78775939941406,130.01863708496094
2020-12-03 17:00:00,24,95.47222785949707,139.81903686523435,-22.214239501953127,209.0751953125,24,24,95.47222785949707,139.81903686523435,-22.214239501953127,209.0751953125
2020-12-03 19:00:00,24,175.10047607421873,170.52695617675784,121.52495727539063,230.63607482910155,24,24,175.10047607421873,170.52695617675784,121.52495727539063,230.63607482910155
2020-12-03 20:00:00,22,68.87008209228514,104.86427764892578,-30.054559326171876,149.61943664550782,22,22,68.87008209228514,104.86427764892578,-30.054559326171876,149.61943664550782
2020-12-03 21:00:00,2,1.3067199707031252,1.3067199707031252,-7.186959838867187,9.800399780273438,2,2,1.3067199707031252,1.3067199707031252,-7.186959838867187,9.800399780273438
2020-12-03 22:00:00,23,65.70528896165932,71.86959838867188,-26.78775939941406,222.79575500488284,23,23,65.70528896165932,71.86959838867188,-26.78775939941406,222.79575500488284
2020-12-03 23:00:00,8,151.90619659423828,151.90619659423828,118.25815734863282,188.82103576660157,8,8,151.90619659423828,151.90619659423828,118.25815734863282,188.82103576660157
2020-12-04 00:00:00,16,88.81612300872803,90.16367797851562,-18.94743957519531,237.82303466796876,16,16,88.81612300872803,90.16367797851562,-18.94743957519531,237.82303466796876
2020-12-04 01:00:00,24,112.40514081319174,131.65203704833985,-23.520959472656248,224.10247497558595,24,24,112.40514081319174,131.65203704833985,-23.520959472656248,224.10247497558595
2020-12-04 03:00:00,23,180.35576291291608,175.75383605957032,108.45775756835937,232.59615478515624,23,23,180.35576291291608,175.75383605957032,108.45775756835937,232.59615478515624
2020-12-04 08:00:00,16,172.73204612731934,167.58683624267576,64.6826385498047,318.1863128662109,14,16,151.95286516462053,154.5196365356445,64.6826385498047,318.1863128662109
2020-12-04 09:00:00,24,100.99856440226237,116.29807739257812,-12.413839721679688,208.42183532714844,24,24,100.99856440226237,116.29807739257812,-12.413839721679688,208.42183532714844
2020-12-04 11:00:00,23,151.94880702806557,146.35263671875,75.78975830078124,212.3419952392578,23,23,151.94880702806557,146.35263671875,75.78975830078124,212.3419952392578
2020-12-04 12:00:00,16,153.82544155120848,139.81903686523438,111.72455749511718,220.18231506347658,16,16,153.82544155120848,139.81903686523438,111.72455749511718,220.18231506347658
2020-12-04 13:00:00,8,159.99152641296388,179.3473159790039,88.85695800781251,194.04791564941408,8,8,159.99152641296388,179.3473159790039,88.85695800781251,194.04791564941408
2020-12-04 14:00:00,24,66.56104850769043,64.6826385498047,-12.413839721679688,149.61943664550782,24,24,66.56104850769043,64.6826385498047,-12.413839721679688,149.61943664550782
2020-12-04 15:00:00,3,130.45421040852864,130.01863708496094,116.9514373779297,144.3925567626953,3,3,130.45421040852864,130.01863708496094,116.9514373779297,144.3925567626953
2020-12-04 16:00:00,21,176.78054460797992,171.1803161621094,115.64471740722657,244.35663452148438,21,21,176.7805446079799,171.1803161621094,115.64471740722657,244.35663452148438
2020-12-04 17:00:00,24,152.12398325602214,161.70659637451172,64.6826385498047,214.30207519531248,24,24,152.12398325602214,161.70659637451172,64.6826385498047,214.30207519531248
2020-12-04 19:00:00,23,96.18595262610394,141.12575683593752,-15.680639648437499,204.50167541503905,23,23,96.18595262610394,141.12575683593752,-15.680639648437499,204.50167541503905
2020-12-04 20:00:00,12,139.65569686889648,136.87891693115233,115.64471740722657,175.10047607421876,12,12,139.65569686889648,136.87891693115233,115.64471740722657,175.10047607421876
2020-12-04 21:00:00,12,-10.889333089192709,-9.800399780273438,-37.24151916503906,42.46839904785156,12,12,-10.889333089192709,-9.800399780273438,-37.24151916503906,42.46839904785156
2020-12-04 22:00:00,24,140.0640468597412,147.33267669677736,28.094479370117188,209.72855529785156,24,24,140.0640468597412,147.33267669677736,28.094479370117188,209.72855529785156
