variable,label,batches_scanned,limited_scan,n_rows,n_missing,missing_rate,n_non_missing,n_zero,zero_rate_all_rows,zero_rate_non_missing,zero_heavy,n_negative,n_positive,min,p01_sample,p05_sample,p25_sample,median_sample,mean,std,p75_sample,p95_sample,p99_sample,max,sample_count
era5_mcc,Medium cloud cover,396,False,83825280,7620480,0.09090909090909091,76204800,25595723,0.3053461079998778,0.33588071879986564,False,0,50609077,0.0,0.0,0.0,0.0,0.1026611328125,0.2972009452984977,0.3682035661339617,0.5464248657226562,1.0,1.0,1.0,200000
era5_msl,Mean sea-level pressure,396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,0,76204800,94330.1875,98422.24625,99549.3125,100932.625,101334.8125,101411.7416121491,1092.73376945267,101909.25,103359.5,104366.001875,105970.6875,200000
era5_sd,Snow depth,396,False,83825280,7620480,0.09090909090909091,76204800,60988624,0.7275683898699772,0.8003252288569749,True,0,15216176,0.0,0.0,0.0,0.0,0.0,0.19799801664036,1.326091414830111,0.0,0.06489295959472652,10.0,10.0,200000
era5_sp,Surface pressure,396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,0,76204800,48566.8359375,69949.770390625,87009.63203125,98646.62109375,100946.27734375,98689.31775895838,6135.990646585149,101486.755859375,102565.44140625,103388.1575,105273.421875,200000
era5_ssrd,Surface solar radiation downwards,396,False,83825280,7620480,0.09090909090909091,76204800,48491854,0.5784872296281026,0.6363359525909129,True,0,27712946,0.0,0.0,0.0,0.0,0.0,413894.09305450576,818568.5909764444,333440.0,2480147.1999999955,3227073.280000001,4478336.0,200000
era5_strd,Surface thermal radiation downwards,396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,0,76204800,296994.625,472320.591875,557978.13125,836593.9375,1147311.6875,1118641.4318213419,329059.0312665541,1435330.75,1540340.40625,1574004.3,1818048.75,200000
era5_swvl1,Volumetric soil water layer 1,396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,27727562,48477238,-0.01596202328801155,-1.3478100299835205e-05,-9.231269359588623e-06,-3.0621886253356934e-06,4.161149263381958e-06,0.09491491184726993,0.15177165858400846,0.20114416256546974,0.39954213500022884,0.5100048261880875,0.7698923945426941,200000
era5_t2m,2 m temperature (K),396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,0,76204800,223.4967803955078,239.54609222412108,248.26744003295897,263.57726287841797,286.26446533203125,280.74693542221587,18.914093170404506,298.37481689453125,301.0676895141602,304.51643798828127,316.35235595703125,200000
era5_t2m_c,2 m temperature (C),396,False,83825280,7620480,0.09090909090909091,76204800,27,3.2209853638425066e-07,3.5430839002267574e-07,False,27160425,49044348,-49.65321350097656,-33.719050598144534,-24.94456253051758,-9.575187683105469,13.2669677734375,7.596941525731488,18.914093170405696,25.281089782714844,27.928437805175783,31.488225708007818,43.202362060546875,200000
era5_tcc,Total cloud cover,396,False,83825280,7620480,0.09090909090909091,76204800,5103950,0.060887956473273934,0.06697675212060132,False,0,71100850,0.0,0.0,0.0,0.337890625,0.8393402099609375,0.6646491881947458,0.36453437537687833,0.99847412109375,1.0,1.0,1.0,200000
era5_tcwv,Total column water vapour,396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,0,76204800,0.19754904508590698,0.8545100265741348,1.5567638397216796,3.988814651966095,13.866660118103027,20.633037943762456,18.43814454983116,35.26561164855957,55.9208641052246,61.399433631896976,76.63216400146484,200000
era5_tp,Total precipitation,396,False,83825280,7620480,0.09090909090909091,76204800,24385696,0.29091099964115835,0.3200020996052742,False,0,51819104,0.0,0.0,0.0,0.0,7.152557373046875e-06,0.00012177122965676565,0.0004821835088622557,5.7220458984375e-05,0.0005617141723632812,0.0020551681518554688,0.06166839599609375,200000
era5_u10,10 m east wind,396,False,83825280,7620480,0.09090909090909091,76204800,235,2.803450224085145e-06,3.083795246493659e-06,False,45920514,30284051,-26.085693359375,-11.65293472290039,-8.80163803100586,-4.8182373046875,-1.11834716796875,-1.0798828674954593,5.161593929364353,1.9021987915039062,8.0615234375,12.742036132812501,30.034912109375,200000
era5_v10,10 m north wind,396,False,83825280,7620480,0.09090909090909091,76204800,141,1.6820701344510868e-06,1.8502771478961955e-06,False,39251799,36952860,-30.585617065429688,-12.925513458251952,-7.8126579284667965,-2.537548065185547,-0.1063079833984375,-0.18755935100601234,4.527603594351087,2.3832550048828125,6.992743682861323,11.362943115234387,24.3638916015625,200000
era5_wind10_speed,10 m wind speed,396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,0,76204800,0.0008718899334780872,0.4552748960256577,1.0773283183574676,2.9613977670669556,5.447906970977783,5.894680465608284,3.687182322960007,8.083719968795776,12.783412456512451,16.90932752609254,32.092620849609375,200000
