variable,label,distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,spatial_autocorrelation
era5_t2m_c,2 m temperature (C),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.873836912623927
era5_t2m_c,2 m temperature (C),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.7678896450947407
era5_t2m_c,2 m temperature (C),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.6321359177863404
era5_t2m_c,2 m temperature (C),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.4914295877159163
era5_t2m_c,2 m temperature (C),6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.3169727140848781
era5_t2m_c,2 m temperature (C),7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.06059489886123326
era5_t2m_c,2 m temperature (C),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.16514873345861586
era5_t2m_c,2 m temperature (C),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.18880301117260329
era5_t2m_c,2 m temperature (C),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.20481913659087636
era5_t2m_c,2 m temperature (C),11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.05064400825703921
era5_t2m_c,2 m temperature (C),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.2885093076350587
era5_tcwv,Total column water vapour,1,0.0,901.9937213825546,515.0510661829162,1083,0.9011629286235612
era5_tcwv,Total column water vapour,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.7747432965150453
era5_tcwv,Total column water vapour,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.6402405050336722
era5_tcwv,Total column water vapour,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.5055096252829672
era5_tcwv,Total column water vapour,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.37195002638431546
era5_tcwv,Total column water vapour,6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.24087081039518052
era5_tcwv,Total column water vapour,7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.05935251102145527
era5_tcwv,Total column water vapour,8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.09890139551882297
era5_tcwv,Total column water vapour,9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.2383415865817775
era5_tcwv,Total column water vapour,10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.2516295840732435
era5_tcwv,Total column water vapour,11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.0695265119020993
era5_tcwv,Total column water vapour,12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.17351801074209816
era5_sp,Surface pressure,1,0.0,901.9937213825546,515.0510661829162,1083,0.53881155344912
era5_sp,Surface pressure,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.3219588377686467
era5_sp,Surface pressure,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.17061293971359678
era5_sp,Surface pressure,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.0047274053452981335
era5_sp,Surface pressure,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.028767049601871927
era5_sp,Surface pressure,6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.06627968878382687
era5_sp,Surface pressure,7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.10369856833280179
era5_sp,Surface pressure,8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.13839310771455401
era5_sp,Surface pressure,9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.05757601557648722
era5_sp,Surface pressure,10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.07637661607310409
era5_sp,Surface pressure,11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.24182724411451878
era5_sp,Surface pressure,12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.6650831627324411
era5_msl,Mean sea-level pressure,1,0.0,901.9937213825546,515.0510661829162,1083,0.8941119492809813
era5_msl,Mean sea-level pressure,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.5569204900597391
era5_msl,Mean sea-level pressure,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.14260690896727926
era5_msl,Mean sea-level pressure,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,-0.12388768465148864
era5_msl,Mean sea-level pressure,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.25118790180119777
era5_msl,Mean sea-level pressure,6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.27270038842352456
era5_msl,Mean sea-level pressure,7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.1672611240305669
era5_msl,Mean sea-level pressure,8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.041039867846238615
era5_msl,Mean sea-level pressure,9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.2016363927075587
era5_msl,Mean sea-level pressure,10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.22720027896560735
era5_msl,Mean sea-level pressure,11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.38672891819881106
era5_msl,Mean sea-level pressure,12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.5785081922766063
