period_start,n_observations,mean_radiance,mean_residual,median_residual,std_residual
2020-08-10,1702,154.37990502291365,3.7914336655073804,16.641386246812758,62.58330789010275
2020-08-17,1595,155.34770375218883,4.872896863525709,18.770729432306894,63.47098281326527
2020-08-24,1590,148.65501156021213,-1.7115218172283693,15.568988281916972,63.72487543513981
2020-08-31,1777,154.8562437762688,4.605211464734231,22.873000385696997,67.22454820393376
2020-09-07,1725,147.41164803413724,-2.726405779218698,17.76036788526426,67.66475218389786
2020-09-14,1654,148.13732862553255,-1.8922888492708754,18.564427573310766,67.18368718850428
2020-09-21,1739,147.88064997948882,-2.03355806971455,17.320145514580787,67.13258061220725
2020-09-28,1681,148.55486020298673,-1.2464453007108898,12.896516755267498,67.58574755886956
2020-10-05,1622,146.14277201322093,-3.548301242663468,12.332505940546113,68.65926751758496
2020-10-12,1862,154.77368198644717,5.193983809152809,17.641374268454754,66.24058250843271
2020-10-19,1534,153.57452192841174,4.111834650461448,14.556239278399815,63.539698060197196
2020-10-26,1836,144.9110455963866,-4.442985351625994,6.113627290375462,65.07432942101545
2020-11-02,1863,149.11898323751174,-0.12357836396837438,8.251457615462698,59.03699073408761
2020-11-09,1672,153.53647043328536,4.403122831126089,13.221846484612215,57.74018399244542
2020-11-16,1823,153.8252399522004,4.806973456452883,6.501660204778005,59.91501699106335
2020-11-23,890,146.35410494343617,-2.569101845749058,0.06443566899324082,60.565712496791114
2020-11-30,1152,140.94823802047304,-7.830668516484746,-3.0440082852527723,59.89453606218408
2020-12-07,1620,144.55065374680507,-4.126037517092439,-1.0607364674586819,55.338293101339055
2020-12-14,1829,143.22801135414085,-5.3414206403163655,-2.1874978514690895,54.74902266987954
2020-12-21,2020,141.96639178738738,-6.486988924962745,-2.724491457696203,53.61869269236533
2020-12-28,1750,136.16507447858538,-12.172703970639905,-7.541180570864967,53.73539533722852
2021-01-04,1475,146.1178700799457,-2.111809940746516,-0.5899176960271291,53.01741266346061
2021-01-11,1704,143.17364162570433,-4.941539391619806,-3.0836956607402755,55.038254162993525
2021-01-18,1577,142.26053996839022,-5.746553902204407,-5.580808257172663,56.132919621406664
2021-01-25,1771,142.31110163149626,-5.582259539213063,-1.5667879418899133,54.448801050626486
2021-02-01,1480,140.79819392436258,-6.972974835151666,-3.7054244418623767,54.35252194288136
2021-02-08,1602,138.9878585567784,-8.678014157345583,-3.9006039576111675,55.71562975139742
2021-02-15,1527,139.80021051333165,-7.7556455772782185,-3.1874715351389113,58.669074421237056
2021-02-22,1406,139.2595450996844,-8.186847907754736,-1.1395535877114042,58.9499748521686
2021-03-01,1210,142.02858154296877,-5.308632392622314,1.0069757766432588,63.00791934437665
2021-03-08,1189,134.98395317212388,-12.226060577810241,1.7362962189831705,61.753195287945616
2021-03-15,747,135.75543513572518,-11.338874109601608,-0.07184051786589407,65.65805473361688
2021-03-22,1227,134.50110192333867,-12.492968956819478,4.562137702504117,64.2647338947492
2021-03-29,1266,135.6207086813205,-11.257528438049286,3.067108226550644,62.97323229198844
2021-04-05,1221,143.6450187614372,-3.123089924619679,8.134909606574467,60.79131221333153
2021-04-12,1007,143.9967776255906,-2.6637368597159035,15.382193936977387,66.34730086040231
2021-04-19,1256,140.219583990012,-6.321840625046756,8.995250963420176,66.71993017364832
2021-04-26,1337,141.68920041343216,-4.741480947059782,8.434636119797489,66.51029715657221
2021-05-03,1050,139.93415267217728,-6.378462609819678,8.209244171515806,66.03067478249528
2021-05-10,1340,140.99215934639548,-5.215205365233999,7.333637275156178,68.25565014045277
2021-05-17,1309,145.4412269912848,-0.6490299143488178,12.640291809097391,67.27213944247241
2021-05-24,1352,152.72241332150068,6.742667566210731,17.966758962601048,59.22378196658767
2021-05-31,1370,146.3354681351933,0.4685329542927539,14.151244031833883,66.0599186775084
2021-06-07,1399,156.71532772301435,10.960246249665996,23.50347520363141,62.04558512189918
2021-06-14,741,157.8283185127454,12.166355377199613,15.044256972697724,66.23731928188593
2021-06-21,129,168.5972650572311,23.09545582809241,19.817230226902097,31.18171165521313
2021-06-28,997,161.6859536066696,16.277487244954663,25.748047201576583,53.77835501629185
2021-07-05,889,163.89854930624517,18.599730146593913,31.133361125201958,54.755157503634685
2021-07-12,746,153.50368803295308,8.302168429384304,20.08707888602561,63.296916928376596
2021-07-19,849,154.05751324800778,8.979641875650787,28.048649934495927,70.92073812758332
2021-07-26,753,166.04714528117998,21.07989591029795,39.26246674787265,62.849076275485345
2021-08-02,732,152.37479494438796,7.516677019059745,28.620977412948477,72.35912982651645
2021-08-09,703,124.70160653560635,-20.039137427290388,-4.277778210459616,82.78933216149225
2021-08-16,620,137.01591176679057,-7.614303776601362,9.231971577029014,90.20096088748981
2021-08-23,223,150.123373495196,5.567185109370098,17.474814748460233,86.95814613095519
