period_start,n_observations,mean_radiance,mean_residual,median_residual,std_residual
2020-04-19,162,132.6885402349778,-19.669074366268358,2.4903539597213324,69.89669777775558
2020-04-20,223,154.71447258508792,2.3741594100894643,12.312317320025159,55.017596693957344
2020-04-21,314,165.13985744403425,12.816131791633085,21.79831613612734,53.153978392089826
2020-04-22,316,166.9996392938155,14.691348928594717,21.486184728995738,53.35754201723109
2020-04-23,268,142.46173173135784,-9.830383451196026,3.8653000492948735,59.301357892211236
2020-04-24,153,132.70467258029512,-19.57007107360441,-6.574987358079937,64.91338424557982
2020-04-25,275,164.88667761230468,12.627328621836101,18.270079011199954,43.17213434394619
2020-04-26,251,145.9647855720672,-6.279314474117878,9.136913068648312,61.753958761651
2020-04-27,287,152.2670243213401,0.039515020641413295,11.773070885680056,57.291924036992434
2020-04-28,316,158.97116833457463,6.760037675869667,18.637047823560152,55.29518133453841
2020-04-29,266,151.41003600385852,-0.7847958972234499,13.43445833500995,62.19267942312285
2020-04-30,323,156.24608467031192,4.0667378907628615,15.075369584217896,65.15967929180349
2020-05-01,252,171.76367329188756,19.601068423878676,29.476306470446517,55.5266311665698
2020-05-02,299,171.57801354449728,19.430188694471873,27.528187693384666,53.206848703589735
2020-05-03,315,169.30320255340092,17.172252035906062,24.273120317023512,51.299355258544985
2020-05-04,313,164.61957995137467,12.504023335735539,26.908051346466266,59.7758765635496
2020-05-05,295,163.88040256306277,11.780006029543566,16.462946009650977,51.70199068613079
2020-05-06,246,150.58885288393594,-1.4939124303843327,14.197744064643672,79.71759330668242
2020-05-07,316,164.59916162611563,12.531520681331976,20.4161065079046,51.042323678016686
2020-05-08,299,171.36386880013455,19.31339348041658,23.053680706970937,45.10322418959551
2020-05-09,307,147.7955620284189,-4.23887671428382,3.46808215991328,53.89052645450863
2020-05-10,313,150.46901336767422,-1.5500456968671128,11.313844459981453,56.01044852017595
2020-05-11,245,158.4357962845783,6.4323022402600945,15.906769906577551,61.48180727651545
2020-05-12,289,159.11689442565284,7.1294004422792545,20.50385527836187,67.18244925133295
2020-05-13,246,157.62176849861453,5.6502970279508995,20.516758853275306,61.14092552923197
2020-05-14,287,176.99681359267817,25.041505025831746,31.63591227523858,45.175360832931204
2020-05-15,276,160.3809384332187,8.4426160205894,22.501603189706245,51.09134847634974
2020-05-16,195,153.9818710092398,2.0576771904848488,17.29216041957926,61.909322202260306
2020-05-17,339,162.44572190366313,10.538938300483991,17.966933424666223,49.957718692722814
2020-05-18,341,163.8228312830771,11.932410516821008,19.94745612299951,53.79494870365389
2020-05-19,300,154.27789334106447,2.403837287301862,15.057644893218807,58.17584182783921
2020-05-20,286,164.78150036151592,12.923747385426683,20.30555303056832,51.83496220703947
2020-05-21,321,166.42971739011392,14.58726359484135,22.60191538033635,49.51755386880712
2020-05-22,251,156.5304755343859,4.704410001847223,8.900861610618733,59.556593420936785
2020-05-23,288,166.5500809881422,14.739347279657819,20.68011677336588,48.27249977399103
