fold_id,space_fold,time_fold,n_train,n_test,feature,impurity_importance,feature_group
space1_time0,1,0,644,83,era5_lmlt,0.033830000124731745,Atmospheric
space1_time0,1,0,644,83,era5_lict,0.08629908535031763,Atmospheric
space1_time0,1,0,644,83,era5_deg0l,0.0415313418771833,Atmospheric
space1_time0,1,0,644,83,era5_avg_sdlwrf,0.03855586494383926,Atmospheric
space1_time0,1,0,644,83,era5_avg_snlwrf,0.021994815065197414,Atmospheric
space1_time0,1,0,644,83,era5_avg_snlwrfcs,0.031820066820176074,Atmospheric
space1_time0,1,0,644,83,hour,0.04667835531152199,Time
space1_time0,1,0,644,83,latitude,0.09439549810794544,Space
space1_time0,1,0,644,83,longitude,0.07210497846905894,Space
space1_time1,1,1,632,94,era5_swvl1,0.03164350886910259,Atmospheric
space1_time1,1,1,632,94,era5_stl1,0.042502333035178794,Atmospheric
space1_time1,1,1,632,94,era5_cl,0.0050940052188455775,Atmospheric
space1_time1,1,1,632,94,era5_cvl,0.0065181824525034565,Atmospheric
space1_time1,1,1,632,94,era5_cvh,0.002683481216327138,Atmospheric
space1_time1,1,1,632,94,era5_tvl,0.0031612328870858413,Atmospheric
space1_time1,1,1,632,94,era5_tvh,0.003249248671817747,Atmospheric
space1_time1,1,1,632,94,era5_siconc,0.00018932423816799573,Atmospheric
space1_time1,1,1,632,94,era5_asn,0.0007722296953034627,Atmospheric
space1_time1,1,1,632,94,era5_sst,0.018005182433734612,Atmospheric
space1_time1,1,1,632,94,era5_slt,0.0029292934705408306,Atmospheric
space1_time1,1,1,632,94,era5_lai_lv,0.006377378359668009,Atmospheric
space1_time1,1,1,632,94,era5_lai_hv,0.005843162728312267,Atmospheric
space1_time1,1,1,632,94,era5_sp,0.031845533598555,Atmospheric
space1_time1,1,1,632,94,era5_tcw,0.04620787479215448,Atmospheric
space1_time1,1,1,632,94,era5_tcwv,0.04741904304725939,Atmospheric
space1_time1,1,1,632,94,era5_msl,0.04757504548991494,Atmospheric
space1_time1,1,1,632,94,era5_t2m,0.04580266434315861,Atmospheric
space1_time1,1,1,632,94,era5_lsm,0.012189843841168668,Atmospheric
space1_time1,1,1,632,94,era5_lcc,0.01781963977701853,Atmospheric
space1_time1,1,1,632,94,era5_mcc,0.015590499569885828,Atmospheric
space1_time1,1,1,632,94,era5_hcc,0.0150104074707658,Atmospheric
space1_time1,1,1,632,94,era5_tco3,0.027449007211317555,Atmospheric
space1_time1,1,1,632,94,era5_skt,0.03534624080301599,Atmospheric
space1_time1,1,1,632,94,era5_tsn,0.03493460695113643,Atmospheric
space1_time1,1,1,632,94,era5_fal,0.030021309978705477,Atmospheric
space1_time1,1,1,632,94,era5_lmlt,0.03421465600543744,Atmospheric
space1_time1,1,1,632,94,era5_lict,0.06815320784373341,Atmospheric
space1_time1,1,1,632,94,era5_deg0l,0.04783762969123143,Atmospheric
space1_time1,1,1,632,94,era5_avg_sdlwrf,0.035679081756093245,Atmospheric
space1_time1,1,1,632,94,era5_avg_snlwrf,0.02406280509818948,Atmospheric
space1_time1,1,1,632,94,era5_avg_snlwrfcs,0.026492193533627886,Atmospheric
space1_time1,1,1,632,94,hour,0.07083635541759573,Time
space1_time1,1,1,632,94,latitude,0.08961720684446509,Space
space1_time1,1,1,632,94,longitude,0.06692658365898123,Space
space1_time3,1,3,599,50,era5_swvl1,0.026471897665543934,Atmospheric
space1_time3,1,3,599,50,era5_stl1,0.0381671586519476,Atmospheric
space1_time3,1,3,599,50,era5_cl,0.003936842411607008,Atmospheric
space1_time3,1,3,599,50,era5_cvl,0.006248266402560856,Atmospheric
space1_time3,1,3,599,50,era5_cvh,0.005048915453870383,Atmospheric
space1_time3,1,3,599,50,era5_tvl,0.002138653359273491,Atmospheric
space1_time3,1,3,599,50,era5_tvh,0.003418142156620869,Atmospheric
space1_time3,1,3,599,50,era5_siconc,0.00019456627854846334,Atmospheric
space1_time3,1,3,599,50,era5_asn,0.000838747604927344,Atmospheric
space1_time3,1,3,599,50,era5_sst,0.024071619131020374,Atmospheric
space1_time3,1,3,599,50,era5_slt,0.0039227917561347565,Atmospheric
space1_time3,1,3,599,50,era5_lai_lv,0.005652768361966302,Atmospheric
space1_time3,1,3,599,50,era5_lai_hv,0.007912488206005545,Atmospheric
space1_time3,1,3,599,50,era5_sp,0.03267402398011447,Atmospheric
space1_time3,1,3,599,50,era5_tcw,0.06284677398272233,Atmospheric
space1_time3,1,3,599,50,era5_tcwv,0.0735528633675495,Atmospheric
space1_time3,1,3,599,50,era5_msl,0.03790947954406433,Atmospheric
space1_time3,1,3,599,50,era5_t2m,0.037221469442921824,Atmospheric
space1_time3,1,3,599,50,era5_lsm,0.008475063420291511,Atmospheric
space1_time3,1,3,599,50,era5_lcc,0.011498511598347331,Atmospheric
space1_time3,1,3,599,50,era5_mcc,0.014329886598891568,Atmospheric
space1_time3,1,3,599,50,era5_hcc,0.017170102899116284,Atmospheric
space1_time3,1,3,599,50,era5_tco3,0.035290086292890266,Atmospheric
space1_time3,1,3,599,50,era5_skt,0.04055797914411611,Atmospheric
space1_time3,1,3,599,50,era5_tsn,0.03587840212979423,Atmospheric
space1_time3,1,3,599,50,era5_fal,0.02855179397735,Atmospheric
space1_time3,1,3,599,50,era5_lmlt,0.03944319002421541,Atmospheric
space1_time3,1,3,599,50,era5_lict,0.04240909116677226,Atmospheric
space1_time3,1,3,599,50,era5_deg0l,0.03939980130150945,Atmospheric
space1_time3,1,3,599,50,era5_avg_sdlwrf,0.054325839870724514,Atmospheric
space1_time3,1,3,599,50,era5_avg_snlwrf,0.019301736347854846,Atmospheric
