variable,label,distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,spatial_autocorrelation
era5_dewpoint_depression_log1p,log1p(dewpoint depression),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.29425731275290545
era5_dewpoint_depression_log1p,log1p(dewpoint depression),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.012770986050927403
era5_dewpoint_depression_log1p,log1p(dewpoint depression),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,-0.20310598979017133
era5_dewpoint_depression_log1p,log1p(dewpoint depression),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.2327568826319144
era5_dewpoint_depression_log1p,log1p(dewpoint depression),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.18604821261209328
era5_dewpoint_depression_log1p,log1p(dewpoint depression),7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.011883904893986375
era5_dewpoint_depression_log1p,log1p(dewpoint depression),8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.198087372759744
era5_dewpoint_depression_log1p,log1p(dewpoint depression),9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.15858394554767408
era5_dewpoint_depression_log1p,log1p(dewpoint depression),10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.033599541090287274
era5_dewpoint_depression_log1p,log1p(dewpoint depression),11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.08047136347645105
era5_dewpoint_depression_log1p,log1p(dewpoint depression),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.1356501657173415
era5_tcwv_log1p,log1p(total column water vapour),1,0.0,901.9937213825546,515.0510661829162,1083,0.9156257451464073
era5_tcwv_log1p,log1p(total column water vapour),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.8351694580567333
era5_tcwv_log1p,log1p(total column water vapour),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.7106036875161703
era5_tcwv_log1p,log1p(total column water vapour),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.576448267768674
era5_tcwv_log1p,log1p(total column water vapour),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.43886692962220875
era5_tcwv_log1p,log1p(total column water vapour),6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.28288733263775284
