variable,label,distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,semivariance
era5_mcc,Medium cloud cover,8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.13639897592350297
era5_mcc,Medium cloud cover,9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.14251479369939218
era5_mcc,Medium cloud cover,10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.16711699166626204
era5_mcc,Medium cloud cover,11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.15443422158615308
era5_mcc,Medium cloud cover,12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.17824231344612612
era5_hcc,High cloud cover,1,0.0,901.9937213825546,515.0510661829162,1083,0.10697620192977805
era5_hcc,High cloud cover,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.15181938181779706
era5_hcc,High cloud cover,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.1686582543889029
era5_hcc,High cloud cover,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.16657311279071654
era5_hcc,High cloud cover,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.1808086751924589
era5_hcc,High cloud cover,6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.17804431612053767
era5_hcc,High cloud cover,7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.18139217819118986
era5_hcc,High cloud cover,8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.19753152253430578
era5_hcc,High cloud cover,9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.18967050548301997
era5_hcc,High cloud cover,10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.19501439769373974
era5_hcc,High cloud cover,11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.19674266710322588
era5_hcc,High cloud cover,12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.18495778156363446
era5_cloud_layer_sum,Cloud layer sum,1,0.0,901.9937213825546,515.0510661829162,1083,0.3411453515265416
era5_cloud_layer_sum,Cloud layer sum,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.48617528095553325
era5_cloud_layer_sum,Cloud layer sum,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.5486843276043882
era5_cloud_layer_sum,Cloud layer sum,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.5655547225257486
era5_cloud_layer_sum,Cloud layer sum,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.6411863365844456
era5_cloud_layer_sum,Cloud layer sum,6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.686864956822686
era5_cloud_layer_sum,Cloud layer sum,7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.6691192118310445
era5_cloud_layer_sum,Cloud layer sum,8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.7069516815893834
era5_cloud_layer_sum,Cloud layer sum,9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.6726893470105197
era5_cloud_layer_sum,Cloud layer sum,10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.6908299816976069
era5_cloud_layer_sum,Cloud layer sum,11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.6680390773132998
era5_cloud_layer_sum,Cloud layer sum,12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.7956073898484634
era5_t2m_c,2 m temperature (C),1,0.0,901.9937213825546,515.0510661829162,1083,18.80664171772828
era5_t2m_c,2 m temperature (C),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,47.74511367311956
era5_t2m_c,2 m temperature (C),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,99.70852308339369
era5_t2m_c,2 m temperature (C),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,174.84281486607273
era5_t2m_c,2 m temperature (C),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,274.60541816886496
era5_t2m_c,2 m temperature (C),6,4509.968606912773,5411.962328295327,4867.039162655121,932,395.84724060702774
era5_t2m_c,2 m temperature (C),7,5411.962328295327,6313.956049677882,5784.053376310686,762,522.1040812350748
era5_t2m_c,2 m temperature (C),8,6313.956049677882,7215.949771060436,6704.564317751114,603,629.2361259572777
era5_t2m_c,2 m temperature (C),9,7215.949771060436,8117.943492442991,7629.207724215055,459,693.5936137824301
era5_t2m_c,2 m temperature (C),10,8117.943492442991,9019.937213825546,8566.468055533569,320,730.1072373512372
era5_t2m_c,2 m temperature (C),11,9019.937213825546,9921.9309352081,9507.771715950392,188,800.8144422267264
era5_t2m_c,2 m temperature (C),12,9921.9309352081,10823.92466741458,10418.133901698027,69,862.5813739900443
era5_tcwv,Total column water vapour,1,0.0,901.9937213825546,515.0510661829162,1083,32.67760296663489
era5_tcwv,Total column water vapour,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,83.08515593905757
era5_tcwv,Total column water vapour,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,145.23785683001077
era5_tcwv,Total column water vapour,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,222.67030612666102
era5_tcwv,Total column water vapour,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,314.241278895899
era5_tcwv,Total column water vapour,6,4509.968606912773,5411.962328295327,4867.039162655121,932,425.9246371202773
era5_tcwv,Total column water vapour,7,5411.962328295327,6313.956049677882,5784.053376310686,762,552.4926459409917
era5_tcwv,Total column water vapour,8,6313.956049677882,7215.949771060436,6704.564317751114,603,668.253029561246
era5_tcwv,Total column water vapour,9,7215.949771060436,8117.943492442991,7629.207724215055,459,762.5296398621546
era5_tcwv,Total column water vapour,10,8117.943492442991,9019.937213825546,8566.468055533569,320,777.1781474556444
era5_tcwv,Total column water vapour,11,9019.937213825546,9921.9309352081,9507.771715950392,188,762.2186312208137
era5_tcwv,Total column water vapour,12,9921.9309352081,10823.92466741458,10418.133901698027,69,675.0340661596042
era5_sp,Surface pressure,1,0.0,901.9937213825546,515.0510661829162,1083,17654501.14518775
era5_sp,Surface pressure,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,23576419.04455066
era5_sp,Surface pressure,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,31640180.075926196
era5_sp,Surface pressure,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,41065968.79220057
era5_sp,Surface pressure,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,43498076.68945319
era5_sp,Surface pressure,6,4509.968606912773,5411.962328295327,4867.039162655121,932,44215619.04493869
era5_sp,Surface pressure,7,5411.962328295327,6313.956049677882,5784.053376310686,762,30876252.640881326
era5_sp,Surface pressure,8,6313.956049677882,7215.949771060436,6704.564317751114,603,25797081.02819237
era5_sp,Surface pressure,9,7215.949771060436,8117.943492442991,7629.207724215055,459,25714356.48148148
era5_sp,Surface pressure,10,8117.943492442991,9019.937213825546,8566.468055533569,320,29830969.7890625
era5_sp,Surface pressure,11,9019.937213825546,9921.9309352081,9507.771715950392,188,27825806.76595745
era5_sp,Surface pressure,12,9921.9309352081,10823.92466741458,10418.133901698027,69,21565289.04347826
era5_msl,Mean sea-level pressure,1,0.0,901.9937213825546,515.0510661829162,1083,145903.6760734072
era5_msl,Mean sea-level pressure,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,558323.6115702479
era5_msl,Mean sea-level pressure,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,1111221.0033174967
era5_msl,Mean sea-level pressure,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,1390538.4853205371
era5_msl,Mean sea-level pressure,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,1480851.2564223753
era5_msl,Mean sea-level pressure,6,4509.968606912773,5411.962328295327,4867.039162655121,932,1444754.9058811695
era5_msl,Mean sea-level pressure,7,5411.962328295327,6313.956049677882,5784.053376310686,762,1431763.7838336613
era5_msl,Mean sea-level pressure,8,6313.956049677882,7215.949771060436,6704.564317751114,603,1399772.513681592
era5_msl,Mean sea-level pressure,9,7215.949771060436,8117.943492442991,7629.207724215055,459,1279583.315767974
era5_msl,Mean sea-level pressure,10,8117.943492442991,9019.937213825546,8566.468055533569,320,1105672.1431640624
era5_msl,Mean sea-level pressure,11,9019.937213825546,9921.9309352081,9507.771715950392,188,898410.2172539893
era5_msl,Mean sea-level pressure,12,9921.9309352081,10823.92466741458,10418.133901698027,69,978536.7767210145
