fold_id,space_fold,time_fold,n_train,n_test,alpha,feature,coefficient_on_standardized_x,abs_coefficient,feature_group
space1_time1,1,1,632,94,1.1450475699382812,era5_tcc,-1.94101447467638,1.94101447467638,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_lcc,-0.0,0.0,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_mcc,-0.0,0.0,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_hcc,-1.2447974673285866,1.2447974673285866,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_cloud_layer_sum,-0.6774351330834185,0.6774351330834185,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_strd,0.0,0.0,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_t2m_c,0.0,0.0,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_d2m_c,15.925521021975028,15.925521021975028,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_dewpoint_depression,-9.475396752216911,9.475396752216911,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_tcwv,-18.081328600446557,18.081328600446557,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_wind10_speed,-0.0,0.0,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_tp,1.5956344728126346,1.5956344728126346,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_cp,-0.0,0.0,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_cape,-9.46889432560923,9.46889432560923,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_blh,0.8338912038658334,0.8338912038658334,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_sp,3.1206700354318166,3.1206700354318166,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_msl,9.862333970607231,9.862333970607231,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,era5_i10fg,0.0,0.0,Atmospheric
space1_time1,1,1,632,94,1.1450475699382812,hour,-9.542707122375578,9.542707122375578,Time
space1_time1,1,1,632,94,1.1450475699382812,latitude,13.75791566662372,13.75791566662372,Space
space1_time1,1,1,632,94,1.1450475699382812,longitude,-0.49710725578044246,0.49710725578044246,Space
space1_time3,1,3,599,50,0.7626985859023444,era5_tcc,-9.090433756500179,9.090433756500179,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_lcc,-0.0,0.0,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_mcc,-0.0,0.0,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_hcc,-1.0870751644930094,1.0870751644930094,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_cloud_layer_sum,-0.9922842362434807,0.9922842362434807,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_strd,4.124919885963408,4.124919885963408,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_t2m_c,0.0,0.0,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_d2m_c,21.293408867794724,21.293408867794724,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_dewpoint_depression,-5.16483464191086,5.16483464191086,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_tcwv,-33.03235446789896,33.03235446789896,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_wind10_speed,-2.2948878477916397,2.2948878477916397,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_tp,3.3844258845087722,3.3844258845087722,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_cp,-0.0,0.0,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_cape,-11.946641934712561,11.946641934712561,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_blh,4.667360910852837,4.667360910852837,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_sp,3.1219170703869206,3.1219170703869206,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_msl,9.61466577126564,9.61466577126564,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,era5_i10fg,0.0,0.0,Atmospheric
space1_time3,1,3,599,50,0.7626985859023444,hour,-19.44846455905095,19.44846455905095,Time
space1_time3,1,3,599,50,0.7626985859023444,latitude,8.852558999705609,8.852558999705609,Space
space1_time3,1,3,599,50,0.7626985859023444,longitude,-4.287691430764529,4.287691430764529,Space
space2_time0,2,0,600,38,0.44366873309786115,era5_tcc,0.0,0.0,Atmospheric
space2_time0,2,0,600,38,0.44366873309786115,era5_lcc,-2.0728278780194014,2.0728278780194014,Atmospheric
space2_time0,2,0,600,38,0.44366873309786115,era5_mcc,0.8466994443599718,0.8466994443599718,Atmospheric
space2_time0,2,0,600,38,0.44366873309786115,era5_hcc,-3.1014441280807463,3.1014441280807463,Atmospheric
space2_time0,2,0,600,38,0.44366873309786115,era5_cloud_layer_sum,-0.0,0.0,Atmospheric
space2_time0,2,0,600,38,0.44366873309786115,era5_strd,-0.0,0.0,Atmospheric
space2_time0,2,0,600,38,0.44366873309786115,era5_t2m_c,0.0,0.0,Atmospheric
space2_time0,2,0,600,38,0.44366873309786115,era5_d2m_c,12.703494375614085,12.703494375614085,Atmospheric
space2_time0,2,0,600,38,0.44366873309786115,era5_dewpoint_depression,-14.041655709106575,14.041655709106575,Atmospheric
space2_time0,2,0,600,38,0.44366873309786115,era5_tcwv,-13.885474188979515,13.885474188979515,Atmospheric
